,date_game,team_name,opposing_team,team_avg_allowed,opp_avg_allowed
0,2018-10-17,Atlanta Hawks,New York Knicks,,
1,2018-10-19,Atlanta Hawks,Memphis Grizzlies,126.0,111.0
2,2018-10-21,Atlanta Hawks,Cleveland Cavaliers,128.5,123.5
3,2018-10-24,Atlanta Hawks,Dallas Mavericks,122.66666666666667,122.0
4,2018-10-27,Atlanta Hawks,Chicago Bulls,118.0,121.0
5,2018-10-29,Atlanta Hawks,Philadelphia 76ers,113.8,114.5
6,2018-10-30,Atlanta Hawks,Cleveland Cavaliers,113.66666666666667,118.5
7,2018-11-01,Atlanta Hawks,Sacramento Kings,116.85714285714286,116.75
8,2018-11-03,Atlanta Hawks,Miami Heat,120.5,110.71428571428571
9,2018-11-06,Atlanta Hawks,Charlotte Hornets,120.22222222222223,108.1
10,2018-11-07,Atlanta Hawks,New York Knicks,119.5,110.18181818181819
11,2018-11-09,Atlanta Hawks,Detroit Pistons,118.81818181818181,111.3
12,2018-11-11,Atlanta Hawks,Los Angeles Lakers,119.25,116.33333333333333
13,2018-11-13,Atlanta Hawks,Golden State Warriors,118.3076923076923,111.57142857142857
14,2018-11-15,Atlanta Hawks,Denver Nuggets,117.71428571428571,103.92857142857143
15,2018-11-17,Atlanta Hawks,Indiana Pacers,119.06666666666666,102.2
16,2018-11-19,Atlanta Hawks,Los Angeles Clippers,117.6875,112.4
17,2018-11-21,Atlanta Hawks,Toronto Raptors,118.23529411764706,107.44444444444444
18,2018-11-23,Atlanta Hawks,Boston Celtics,118.55555555555556,104.16666666666667
19,2018-11-25,Atlanta Hawks,Charlotte Hornets,118.3157894736842,110.22222222222223
20,2018-11-27,Atlanta Hawks,Miami Heat,118.55,110.26315789473684
21,2018-11-28,Atlanta Hawks,Charlotte Hornets,118.28571428571429,110.75
22,2018-11-30,Atlanta Hawks,Oklahoma City Thunder,117.81818181818181,104.35
23,2018-12-03,Atlanta Hawks,Golden State Warriors,118.08695652173913,111.5
24,2018-12-05,Atlanta Hawks,Washington Wizards,118.5,116.70833333333333
25,2018-12-08,Atlanta Hawks,Denver Nuggets,119.0,103.76
26,2018-12-12,Atlanta Hawks,Dallas Mavericks,118.1923076923077,108.0
27,2018-12-14,Atlanta Hawks,Boston Celtics,118.03703703703704,103.5925925925926
28,2018-12-16,Atlanta Hawks,Brooklyn Nets,118.42857142857143,111.33333333333333
29,2018-12-18,Atlanta Hawks,Washington Wizards,119.3103448275862,116.93333333333334
30,2018-12-21,Atlanta Hawks,New York Knicks,119.0,116.93333333333334
31,2018-12-23,Atlanta Hawks,Detroit Pistons,118.36666666666666,109.9
32,2018-12-26,Atlanta Hawks,Indiana Pacers,117.16666666666667,100.26666666666667
33,2018-12-28,Atlanta Hawks,Minnesota Timberwolves,117.76666666666667,110.4
34,2018-12-29,Atlanta Hawks,Cleveland Cavaliers,118.3,109.86666666666666
35,2018-12-31,Atlanta Hawks,Indiana Pacers,118.66666666666667,100.46666666666667
36,2019-01-02,Atlanta Hawks,Washington Wizards,118.76666666666667,116.3
37,2019-01-04,Atlanta Hawks,Milwaukee Bucks,118.03333333333333,108.5
38,2019-01-06,Atlanta Hawks,Miami Heat,117.96666666666667,104.66666666666667
39,2019-01-08,Atlanta Hawks,Toronto Raptors,116.76666666666667,108.13333333333334
40,2019-01-09,Atlanta Hawks,Brooklyn Nets,116.46666666666667,112.66666666666667
41,2019-01-11,Atlanta Hawks,Philadelphia 76ers,116.6,112.93333333333334
42,2019-01-13,Atlanta Hawks,Milwaukee Bucks,116.5,108.33333333333333
43,2019-01-15,Atlanta Hawks,Oklahoma City Thunder,117.36666666666666,107.7
44,2019-01-19,Atlanta Hawks,Boston Celtics,117.9,107.46666666666667
45,2019-01-21,Atlanta Hawks,Orlando Magic,117.06666666666666,107.26666666666667
46,2019-01-23,Atlanta Hawks,Chicago Bulls,117.9,109.7
47,2019-01-26,Atlanta Hawks,Portland Trail Blazers,117.03333333333333,109.76666666666667
48,2019-01-28,Atlanta Hawks,Los Angeles Clippers,116.9,114.33333333333333
49,2019-01-30,Atlanta Hawks,Sacramento Kings,117.03333333333333,114.0
50,2019-02-01,Atlanta Hawks,Utah Jazz,117.43333333333334,103.86666666666666
51,2019-02-02,Atlanta Hawks,Phoenix Suns,117.93333333333334,117.23333333333333
52,2019-02-04,Atlanta Hawks,Washington Wizards,118.06666666666666,113.56666666666666
53,2019-02-07,Atlanta Hawks,Toronto Raptors,118.23333333333333,108.7
54,2019-02-09,Atlanta Hawks,Charlotte Hornets,117.93333333333334,110.96666666666667
55,2019-02-10,Atlanta Hawks,Orlando Magic,117.86666666666666,106.9
56,2019-02-12,Atlanta Hawks,Los Angeles Lakers,118.73333333333333,115.36666666666666
57,2019-02-14,Atlanta Hawks,New York Knicks,118.7,114.03333333333333
58,2019-02-22,Atlanta Hawks,Detroit Pistons,117.93333333333334,106.23333333333333
59,2019-02-23,Atlanta Hawks,Phoenix Suns,117.3,119.36666666666666
60,2019-02-25,Atlanta Hawks,Houston Rockets,117.36666666666666,113.36666666666666
61,2019-02-27,Atlanta Hawks,Minnesota Timberwolves,117.76666666666667,113.23333333333333
62,2019-03-01,Atlanta Hawks,Chicago Bulls,118.7,111.86666666666666
63,2019-03-03,Atlanta Hawks,Chicago Bulls,120.0,114.56666666666666
64,2019-03-04,Atlanta Hawks,Miami Heat,119.93333333333334,106.63333333333334
65,2019-03-06,Atlanta Hawks,San Antonio Spurs,120.13333333333334,113.1
66,2019-03-09,Atlanta Hawks,Brooklyn Nets,119.96666666666667,113.5
67,2019-03-10,Atlanta Hawks,New Orleans Pelicans,119.96666666666667,115.1
68,2019-03-13,Atlanta Hawks,Memphis Grizzlies,119.03333333333333,105.33333333333333
69,2019-03-16,Atlanta Hawks,Boston Celtics,120.0,109.9
70,2019-03-17,Atlanta Hawks,Orlando Magic,120.83333333333333,105.4
71,2019-03-19,Atlanta Hawks,Houston Rockets,120.33333333333333,110.73333333333333
72,2019-03-21,Atlanta Hawks,Utah Jazz,120.33333333333333,107.1
73,2019-03-23,Atlanta Hawks,Philadelphia 76ers,119.7,110.86666666666666
74,2019-03-26,Atlanta Hawks,New Orleans Pelicans,119.73333333333333,117.03333333333333
75,2019-03-29,Atlanta Hawks,Portland Trail Blazers,119.96666666666667,111.9
76,2019-03-31,Atlanta Hawks,Milwaukee Bucks,119.83333333333333,108.8
77,2018-10-16,Boston Celtics,Philadelphia 76ers,,
78,2018-10-19,Boston Celtics,Toronto Raptors,87.0,104.0
79,2018-10-20,Boston Celtics,New York Knicks,100.0,107.0
80,2018-10-22,Boston Celtics,Orlando Magic,100.33333333333333,112.33333333333333
81,2018-10-25,Boston Celtics,Oklahoma City Thunder,98.5,115.66666666666667
82,2018-10-27,Boston Celtics,Detroit Pistons,97.8,112.75
